9999	1	5	48	48	8	8	5	5	3	3	10	3	5	8	8	5
3	9999	1	48	48	8	8	5	5	10	110	3	10	3	8	8	5
5	3	9999	1	72	48	48	24	24	3	3	5	3	10	48	48	24
48	48	74	9999	1	6	6	12	12	48	48	48	48	74	6	6	12
48	48	74	10	9999	1	6	12	12	48	48	48	48	74	6	6	12
8	8	510	6	6	9999	1	8	8	8	8	8	8	510	10	10	8
8	8	510	6	6	10	9999	1	8	8	8	8	8	510	10	10	8
5	5	26	12	12	8	8	9999	1	5	5	5	5	26	8	8	10
5	5	26	12	12	8	8	10	9999	1	5	5	5	26	8	8	10
3	10	3	48	48	8	8	5	5	9999	1	3	10	3	8	8	5
3	10	3	48	48	8	8	5	5	10	9999	1	10	3	8	8	5
10	3	5	48	48	8	8	5	5	3	3	9999	1	5	8	8	5
3	10	3	48	48	8	8	5	5	10	10	3	9999	1	8	8	5
5	3	10	72	72	48	48	24	24	3	3	5	3	9999	1	48	24
8	8	510	6	6	10	10	8	8	8	8	8	8	510	9999	1	8
8	8	510	6	6	10	10	8	8	8	8	8	8	510	10	9999	1
1	5	26	12	12	8	8	10	10	5	5	5	5	26	8	8	9999
